,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0008469104766845703,0.0006596447845843757,0.012951421737670898,0.001187069133883163,3,1,"{'n_neighbors': 3, 'p': 1}",0.8584146305963303,0.8230883429487059,0.8491857400699168,0.8080681289616022,0.7994130197326043,0.8276339724618319,0.022855348410020536,5
1,0.00039887428283691406,0.0004885192380524391,0.005297088623046875,0.0009283437377557936,3,2,"{'n_neighbors': 3, 'p': 2}",0.8020641076960819,0.7897227169915321,0.8236405487031841,0.731871134919523,0.7544670434748314,0.7803531103570306,0.03302589787868427,10
2,0.0009763240814208984,0.000528970334486865,0.013567829132080078,0.0014823015581419208,5,1,"{'n_neighbors': 5, 'p': 1}",0.8746251371509247,0.8242925778024275,0.8465040382910347,0.8044162358528205,0.8135308393811026,0.832673765695662,0.02524431792798204,2
3,0.0008670806884765625,0.0004526887760092443,0.0060351848602294925,0.0009826906138023226,5,2,"{'n_neighbors': 5, 'p': 2}",0.8372352401850116,0.8043790945540104,0.8310169472046275,0.748628071670632,0.7792792747213668,0.8001077256671298,0.032972885972861514,9
4,0.0006180286407470703,0.0005058638278673604,0.01151432991027832,0.001142822045220856,7,1,"{'n_neighbors': 7, 'p': 1}",0.87860115045463,0.8259263223375758,0.8468548658746379,0.8083580612419359,0.8186822696003654,0.8356845339018288,0.02489035188607967,1
5,0.0005982398986816406,0.0004884611344165721,0.004830598831176758,0.0005879968305000339,7,2,"{'n_neighbors': 7, 'p': 2}",0.8446184205348154,0.802238002077039,0.832954562533694,0.762920513033255,0.7895851640274918,0.8064633324412591,0.0295171107221751,7
6,0.0011010169982910156,0.00020163943171084563,0.011516380310058593,0.0011339701884697886,9,1,"{'n_neighbors': 9, 'p': 1}",0.8735497969827097,0.8245908186057305,0.8455232452817061,0.8078710459962608,0.8105119214232965,0.8324093656579408,0.02452454200269766,3
7,0.0004234790802001953,0.0004727992128947886,0.00555715560913086,0.0007299861977007135,9,2,"{'n_neighbors': 9, 'p': 2}",0.8516932088824591,0.8014734150614371,0.8297156297305553,0.7648834029649142,0.7986791238308142,0.8092889560940361,0.02953260578203883,6
8,0.0010992527008056641,0.00020341984944812196,0.011191892623901366,0.0011698859258223134,11,1,"{'n_neighbors': 11, 'p': 1}",0.875426542719639,0.8235612497719379,0.8407068466710249,0.8090094193945084,0.8081260693401308,0.8313660255794483,0.025017625949898883,4
9,0.0005984783172607421,0.0004886556471492247,0.005035781860351562,0.0009241666766853321,11,2,"{'n_neighbors': 11, 'p': 2}",0.8505501786541243,0.7962033129601966,0.8267393873654687,0.7640202042126375,0.7935072413445895,0.8062040649074034,0.029762324318184666,8
